ID,TITLE,LINK,BUTTON_TEXT,DATE,DESCRIPTION,IMAGESIZE
SWIM-VIERS,Appointment of Dr. Joshua Viers,,Learn More,6-Oct-23,"Dr. Joshua Viers has been appointed as the Associate Vice Chancellor for Interdisciplinary Research and Strategic Initiatives in the ORED. He'll support the Vice Chancellor for Research, Innovation and Economic Development and also be the new Director of VISTA. Since joining UC Merced in 2013, Dr. Viers has expanded research collaborations, advocated for UC Merced's Agricultural Experiment Station designation, launched the Experimental Smart Farm, and increased research funding. With a career spanning almost 29 years at the University of California, he has published extensively on diverse topics.",
Arax_hanak,Arax and Hanak Hosted at UC Merced,https://www.kvpr.org/community-calendar/event/historical-memory-policy-and-the-future-of-water-in-the-central-valley-06-09-2023-13-28-42,Read More,6-Sep-23,"Secure Water Future and the UC Merced Library are co-hosting Historical Memory, Policy, and the Future of Water in the Central Valley: A Conversation with Mark Arax and Ellen Hanak on Thursday, September 28, 2023.",
swf_utah_rafting_hero, Water Research Goes Deep with Rafting Trip to Utah,https://news.ucmerced.edu/news/2023/water-research-goes-deep-rafting-trip-utah,Read More,15-Jun-23,"A recent trip to Utah that culminated in rafting The Gates of Lodore on the Green River allowed student participants to both learn about and experience water, in all its forms. This was the second year for this trip, and thanks to this winter's heavy and lengthy snowfall, students got to see the solid form of water, as well.",
stem_summer,UC Merced hosting STEM summer camps for elementary to high school students,https://abc30.com/uc-merced-summer-program-students-learning-science-and-math/13374836/,Read More,13-Jun-23,"In the North Valley, students are getting hands-on lessons at UC Merced, sparking their passion for science, technology, engineering, and math.",
hackathon_photo,Teams Compete in 48-Hour Water Hack Challenge,https://news.ucmerced.edu/news/2023/teams-compete-48-hour-water-hack-challenge,Read More,2-May-23,Teams of students from throughout California converged on UC Merced the weekend of April 21-23 to spend 48 hours tackling issues surrounding a precious resource: water.,
swf-convening,"NM WRRI and NMSU Researchers Attend 'Secure Water Future' Project Team Meeting in Berkeley, California",news/SWF-Convening.html,Read More,4-Feb-23,"After working in a virtual environment for nearly two years on the US Department of Agriculture-funded project, Secure Water Future, researchers from NM WRRI and NMSU joined their counterparts from UC Merced, UC Davis, UC Berkeley, UC Agriculture and Natural Resources, Utah State, Environmental Defense Fund, and the Public Policy Institute of California for a two-day in-person project team meeting. The meeting took place on the campus of UC Berkeley from January 5 through January 7. The main purpose of the meeting was to build stronger collaborations and coordination between researchers at the different research sites in three states working across four main research thrusts at three spatial scales (region, district, and farm). The research thrusts include climate integration, markets, management, and measurement with education and outreach as overarching activities to achieve the goal of understanding, enabling, and envisioning water management strategies for agricultural and ecological systems in the Southwest. The research is important for New Mexico, as water managers and researchers work together to find innovative solutions to sustain agriculture in times of continued water scarcity.

Several main outcomes resulted from the meeting. The primary outcome was a greater connection between team members, which is necessary to build trust, align individual goals with project goals, and integrate the broad depth of knowledge each team member brings to the project. Progress was made in envisioning the utility of Water 3D, the web-based tool being developed for the project. Another outcome was an outline of project deliverables for year 2 of the project, which will include numerous publications, presentations, and the development of an educational game to teach about the impacts of water management decisions.

Although only a subset of the team was able to attend, the entire project team includes over 70 researchers, graduate and undergraduate students, and support staff.

The team will convene again July 17-19 in Denver for the American Water Resources Association meeting to present the most recent results of the research.",
california-floods-drought-preparedness,Week of Storms Tests California's Approach to Taming Nature,https://www.nytimes.com/2023/01/05/climate/california-floods-drought-preparedness.html,Read More,5-Jan-23,"As global warming brings more intense rainfall, experts say the state needs to give rivers more room to flood safely. But the obstacles are enormous.",
experiment_station,UC Merced Gains Prestigious UC Agricultural Experiment Station Designation,https://news.ucmerced.edu/news/2022/uc-merced-gains-prestigious-uc-agricultural-experiment-station-designation,Read More,16-Nov-22,"UCs Merced and Santa Cruz became the newest campuses in the system to be named an agricultural experiment stations(AES), UC President Michael Drake announced at todays Regents meeting.",
f3_hero,Fresno-Merced Future of Food Innovation coalition receives $65.1 M from US government,https://citris-uc.org/fresno-merced-future-of-food-innovation-coalition-receives-65m-from-us-government/,Read More,12-Sep-22,"On Sept. 2, the White House announced a $65.1 million award — the largest federal grant ever awarded to the Central Valley — to the Fresno-Merced Future of Food Innovation (F3) Initiative coalition as part of its “Build Back Better” initiative to boost economic recovery after the pandemic.",
co1_final,SWF Researchers Key Collaborators on $65.1M Federal Grant,https://citris.ucmerced.edu/news/fedgrant,Read More,2-Sep-22,"The White House announced today (Sept. 2) a $65.1 million award — the largest federal grant ever awarded to the Central Valley — to the Fresno-Merced Future of Food Innovation (F3) Coalition as part of its 'Build Back Better' initiative to boost economic recovery after the pandemic. The funding will help launch a state-of-the-art agricultural technology hub that will serve and connect farmers across the San Joaquin Valley to industry and spark a new, more advanced era in agriculture-based technology in an effort to boost productivity, create jobs and build capacity for regional sustainability.",
