ID,FNAME,LNAME,TITLE,INSTITUTION
HEADER,Advisory Boards Lead,,,
mark-matsumoto,Mark, Matsumoto,Dean of Engineering, UC Merced
HEADER,Economic Development,,,
ashley-swearengin,Ashley,Swearengin,President and CEO,Central Valley Community Foundation
jani-iwamoto,Jani,Iwamoto,State Senator,Utah
joan-snyder,Joan,Snyder,Trustee, UCM
cannon-michael,Cannon,Michael,CEO,Bowles Farming Co.
HEADER,AG Tech Integration,,,
gabe-youtsey,Gabriel,Youtsey, CIO, UCANR
aric-olson,Aric,Olson,CEO,Jain Irrigation
aaron-magenheim,Aaron,Magenheim,CEO,AgTechInsight
eric-averett,Eric,Averett,General Manager,Rosedale-Rio Bravo Water Storage District
HEADER,Stakeholder Engagement,,,
ken-white,Ken,White,Vice President,Utah Coop extension
julie-maitland,Julie,Maitland,Division Director,New Mexico DEPT of AG
nathan-daugs,Nathan,Daugs,Manage,Cache Water District
erek-fuchs,Erek,Fuchs,Ground Water Research Director,Elephant Butte Irrigation District
